RecordNo,endtime,qweek,i12_health_1,i12_health_3,i12_health_4,i12_health_5,i12_health_6,i12_health_7,i12_health_8,i12_health_12,i12_health_13,i12_health_14,i12_health_15,i12_health_16,weight,age,gender,state,household_size,employment_status,Vent_3,vac_boost_1,vac12_booster_other,vac_man_1,vac_man_2,vac_man_3,vac_man_4,vac_man_5,vac_man_6,vac_man_7,vac_man_96,vac_man_99,household_children_resp,future_1,future_2,had_covid_2,future_3
52827,21/03/2022 16:56,week 54,Always,Always,Always,Always,Sometimes,Sometimes,Frequently,Frequently,Always,Always,Always,Frequently,1.103762522,33,Male,Victoria,3,Full time employment,Frequently, ,__NA__,No,No,No,No,No,No,No,No,Yes,1,3 – About the same,3 – About the same,No,3 – About the same
52828,21/03/2022 17:10,week 54,Always,Always,Always,Frequently,Frequently,Frequently,Frequently,Frequently,Always,Always,Always,Always,1.457713979,32,Male,Australian Capital Territory,4,Full time employment,Frequently, ,__NA__,No,No,No,No,No,No,No,No,Yes,2,3 – About the same,4,No,5 - A lot more of an impact
52829,21/03/2022 17:12,week 54,Frequently,Frequently,Frequently,Sometimes,Frequently,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,0.95916126,51,Male,New South Wales,4,Full time employment,Always,Yes,__NA__,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,2,4,4,Yes,4
52830,21/03/2022 17:44,week 54,Sometimes,Always,Always,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Not at all,0.928878718,44,Female,Victoria,4,Full time employment,Sometimes,Yes,__NA__,No,No,No,No,No,No,No,No,Yes,2,3 – About the same,3 – About the same,Yes,3 – About the same
52831,21/03/2022 17:49,week 54,Frequently,Sometimes,Sometimes,Frequently,Sometimes,Sometimes,Frequently,Frequently,Sometimes,Sometimes,Frequently,Sometimes,0.892158875,43,Male,New South Wales,6,Full time employment,Frequently, ,__NA__,No,No,Yes,No,No,No,No,No,No,1,3 – About the same,3 – About the same,No,4
52832,21/03/2022 17:52,week 54,Frequently,Always,Always,Frequently,Not at all,Not at all,Sometimes,Not at all,Not at all,Not at all,Not at all,Sometimes,0.819128647,35,Female,Tasmania,3,Part time employment,Rarely,No,__NA__,Yes,Yes,Yes,Yes,Yes,No,No,No,No,2,3 – About the same,3 – About the same,No,2
52833,21/03/2022 17:55,week 54,Rarely,Not at all,Always,Sometimes,Sometimes,Not at all,Not at all,Not at all,Not at all,Sometimes,Frequently,Not at all,0.985314419,48,Male,New South Wales,2,Full time employment,Sometimes,No,__NA__,No,No,No,No,No,No,No,No,Yes,0,3 – About the same,3 – About the same,No,3 – About the same
52834,21/03/2022 18:05,week 54,Not at all,Not at all,Always,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,0.985314419,48,Male,New South Wales,3,Full time employment,Not at all,No,The plandemic is the biggest scam in human history. People like me are forced to get the poison to be able to work,No,No,No,No,No,No,No,No,Yes,Prefer not to say,1 – A lot less impact,1 – A lot less impact,No,1 – A lot less impact
52835,21/03/2022 18:16,week 54,Not at all,Sometimes,Always,Always,Not at all,Always,Always,Rarely,Rarely,Frequently,Sometimes,Rarely,1.018565926,52,Female,New South Wales,3,Not working,Sometimes,Yes,__NA__,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Prefer not to say,3 – About the same,3 – About the same,No,3 – About the same
52836,21/03/2022 18:23,week 54,Frequently,Frequently,Always,Frequently,Sometimes,Frequently,Sometimes,Rarely,Not at all,Frequently,Frequently,Frequently,1.045017908,27,Female,Victoria,4,Part time employment,Frequently,Yes,__NA__,No,Yes,No,Yes,No,No,No,No,No,2,3 – About the same,2,No,4
52837,21/03/2022 19:01,week 54,Always,Always,Always,Always,Sometimes,Always,Always,Frequently,Frequently,Frequently,Always,Rarely,0.555527147,46,Male,South Australia,6,Full time employment,Sometimes,Yes,__NA__,Yes,Yes,Yes,Yes,No,No,No,No,No,3,3 – About the same,2,No,2
52838,21/03/2022 19:14,week 54,Always,Always,Always,Always,Sometimes,Always,Always,Always,Always,Always,Frequently,Sometimes,1.132687324,32,Female,Western Australia,4,Unemployed,Always,No,__NA__,No,No,No,No,No,No,No,No,Yes,Prefer not to say,5 - A lot more of an impact,5 - A lot more of an impact,No,5 - A lot more of an impact
52839,21/03/2022 19:27,week 54,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,0.95916126,57,Male,New South Wales,3,Full time employment,Always,Yes,__NA__,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,1,3 – About the same,3 – About the same,No,3 – About the same
52840,21/03/2022 19:28,week 54,Frequently,Frequently,Always,Always,Frequently,Frequently,Rarely,Frequently,Always,Always,Always,Frequently,1.023401234,57,Male,Victoria,2,Full time employment,Frequently,Yes,__NA__,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,0,3 – About the same,3 – About the same,No,2
52841,21/03/2022 19:38,week 54,Always,Always,Always,Always,Sometimes,Frequently,Always,Rarely,Rarely,Sometimes,Sometimes,Not at all,0.682428975,58,Female,South Australia,2,Part time employment,Sometimes,Yes,__NA__,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,0,3 – About the same,3 – About the same,No,3 – About the same
52842,21/03/2022 19:39,week 54,Sometimes,Not at all,Always,Frequently,Not at all,Not at all,Always,Always,Always,Always,Always,Not at all,0.928838105,41,Female,Queensland,2,Part time employment,Frequently,Yes,__NA__,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,0,3 – About the same,3 – About the same,No,3 – About the same
52843,21/03/2022 19:43,week 54,Always,Sometimes,Sometimes,Frequently,Not at all,Not at all,Always,Not at all,Not at all,Rarely,Sometimes,Rarely,0.941068014,62,Male,South Australia,2,Full time employment,Sometimes,Yes,__NA__,Yes,Yes,Yes,Yes,No,No,No,No,No,0,3 – About the same,3 – About the same,No,3 – About the same
52844,21/03/2022 19:47,week 54,Always,Rarely,Rarely,Frequently,Rarely,Always,Always,Sometimes,Not at all,Not at all,Frequently,Not at all,0.813491565,26,Female,Queensland,2,Part time employment,Rarely,No,__NA__,No,No,No,No,No,No,No,No,Yes,0,5 - A lot more of an impact,3 – About the same,No,2
52845,21/03/2022 19:50,week 54,Not at all,Rarely,Always,Frequently,Rarely,Not at all,Frequently,Rarely,Rarely,Frequently,Sometimes,Not at all,0.86847834,56,Male,New South Wales,1,Part time employment,Sometimes,No,__NA__,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,0,3 – About the same,4,No,5 - A lot more of an impact
52846,21/03/2022 19:59,week 54,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,0.985314419,45,Male,New South Wales,2,Full time employment,Not at all,No,__NA__,No,No,No,No,No,No,No,No,Yes,0,2,2,No,1 – A lot less impact
52847,21/03/2022 19:59,week 54,Always,Frequently,Always,Always,Always,Always,Always,Always,Always,Always,Always,Sometimes,1.098087052,27,Female,New South Wales,6,Part time employment,Always,Yes,__NA__,Yes,Yes,Yes,No,No,No,No,No,No,0,3 – About the same,3 – About the same,No,2
