level_0,level_1,Correlation
RecordNo,endtime,0.9961561359535347
RecordNo,week_number,0.9993061117696787
RecordNo,within_mandate_period,0.5818053944939681
endtime,RecordNo,0.9961561359535347
endtime,week_number,0.994588963282991
endtime,within_mandate_period,0.5905847810734458
i12_health_1,i12_health_22,0.9123236459098322
i12_health_1,i12_health_23,0.8476045262258304
i12_health_1,i12_health_25,0.8009857674938169
i12_health_1,face_mask_behaviour_scale,0.9378391747508266
i12_health_1,face_mask_behaviour_binary,0.8436655392000671
i12_health_5,i12_health_14,0.513910402729216
i12_health_5,i12_health_15,0.5318946983978076
i12_health_6,i12_health_7,0.5320808160207614
i12_health_6,i12_health_8,0.5161314812257526
i12_health_6,i12_health_11,0.6564327677011865
i12_health_6,i12_health_12,0.6885086374508487
i12_health_6,i12_health_13,0.6833544314139418
i12_health_6,i12_health_14,0.6422616623026136
i12_health_6,i12_health_15,0.6419564742526901
i12_health_6,i12_health_16,0.7601894877620253
i12_health_7,i12_health_6,0.5320808160207614
i12_health_7,i12_health_11,0.529248649666817
i12_health_7,i12_health_12,0.5333552277698187
i12_health_7,i12_health_13,0.5275864785055548
i12_health_7,i12_health_14,0.5021069344231427
i12_health_7,i12_health_16,0.5332982213894624
i12_health_8,i12_health_6,0.5161314812257526
i12_health_8,i12_health_13,0.5194897603734921
i12_health_8,i12_health_14,0.5336658907870389
i12_health_8,i12_health_15,0.5503681378065389
i12_health_11,i12_health_6,0.6564327677011865
i12_health_11,i12_health_7,0.529248649666817
i12_health_11,i12_health_12,0.7215589449967769
i12_health_11,i12_health_13,0.7315135302536966
i12_health_11,i12_health_14,0.6964439326097951
i12_health_11,i12_health_15,0.6249112689440217
i12_health_11,i12_health_16,0.6158117303389614
i12_health_12,i12_health_6,0.6885086374508487
i12_health_12,i12_health_7,0.5333552277698187
i12_health_12,i12_health_11,0.7215589449967769
i12_health_12,i12_health_13,0.8689351493146122
i12_health_12,i12_health_14,0.750899171338035
i12_health_12,i12_health_15,0.6318606442447996
i12_health_12,i12_health_16,0.6655532436141984
i12_health_13,i12_health_6,0.6833544314139418
i12_health_13,i12_health_7,0.5275864785055548
i12_health_13,i12_health_8,0.5194897603734921
i12_health_13,i12_health_11,0.7315135302536966
i12_health_13,i12_health_12,0.8689351493146122
i12_health_13,i12_health_14,0.8548652069244849
i12_health_13,i12_health_15,0.6770335013952236
i12_health_13,i12_health_16,0.6523644038834102
i12_health_14,i12_health_5,0.513910402729216
