Variable Name,Missing Value Count
RecordNo,0
age,0
employment_status,0
endtime,0
gender,0
household_size,0
i12_health_1,0
i12_health_12,0
i12_health_13,0
i12_health_14,0
i12_health_15,0
i12_health_16,0
i12_health_3,0
i12_health_4,0
i12_health_5,0
i12_health_6,0
i12_health_7,0
i12_health_8,0
qweek,0
state,0
weight,0
i11_health,1001
i9_health,1001
i12_health_11,1006
i12_health_2,1006
i2_health,2002
WCRex2,2981
cantril_ladder,3985
WCRex1,7014
d1_health_1,9007
d1_health_10,9007
d1_health_11,9007
d1_health_12,9007
d1_health_13,9007
d1_health_2,9007
d1_health_3,9007
d1_health_4,9007
d1_health_5,9007
d1_health_6,9007
d1_health_7,9007
d1_health_8,9007
d1_health_9,9007
d1_health_98,9007
d1_health_99,9007
i12_health_22,9023
i12_health_25,9023
r1_1,9023
r1_2,9023
i12_health_23,10029
PHQ4_1,10752
PHQ4_3,10756
PHQ4_4,10761
PHQ4_2,10781
i12_health_26,14059
i13_health,17901
i7a_health,17901
i12_health_27,18075
i12_health_28,18075
i12_health_29,18075
i10_health,18902
vac2_1,19074
vac2_2,19074
vac2_3,19074
r1_6,20894
r1_7,20894
vac7,21077
Soc1_1,21084
Soc1_2,21084
Soc1_3,21084
i5_health_1,22130
i5_health_2,22130
i5_health_3,22130
i5_health_4,22130
i5_health_5,22130
i5_health_99,22130
i1_health,22927
i12_health_9,22968
i14_health_1,22968
i14_health_10,22968
i14_health_2,22968
i14_health_3,22968
i14_health_4,22968
i14_health_5,22968
i14_health_6,22968
i14_health_7,22968
i14_health_8,22968
i14_health_9,22968
i14_health_96,22968
i14_health_98,22968
i14_health_99,22968
r1_8,24005
r1_9,24005
vac2_7,24005
vac,25016
i12_health_24,27884
i14_health_11,29576
travel1_1,29852
travel1_2,29852
travel1_3,29852
travel1_4,29852
travel1_99,29852
i3_health,30113
i4_health,30293
i12_health_17,32756
i12_health_18,32756
i12_health_19,32756
i12_health_20,32756
vac_1,36226
vac2_6,37290
vac_booster,38741
r1_3,38851
r1_4,38851
r1_5,38851
household_children,38941
i12_health_10,39129
WCRV_4,40745
Vent_3,40956
i12_health_21,41779
vac8,42477
CORE_B2_4,42755
Soc2_1,44315
Soc2_2,44315
Soc2_3,44315
Soc2_4,44315
Soc2_5,44315
Soc2_6,44315
vac_3,44601
vac12_1,44937
vac12_10,44937
vac12_11,44937
vac12_2,44937
vac12_3,44937
vac12_4,44937
vac12_5,44937
vac12_6,44937
vac12_7,44937
vac12_8,44937
vac12_9,44937
vac12_96,44937
vac10_1,45223
vac10_2,45223
vac10_3,45223
vac10_4,45223
vac10_5,45223
vac10_99,45223
vac_man_1,45998
vac_man_2,45998
vac_man_3,45998
vac_man_4,45998
vac_man_5,45998
vac_man_6,45998
vac_man_7,45998
vac_man_96,45998
vac_man_99,45998
vac11,46123
vac_boost_1,46633
combi_vac,46796
Vent_1,46799
r1_10,46932
vac3_1,47125
vac3_2,47125
vac3_3,47125
vac3_4,47125
vac3_5,47125
vac3_6,47125
vac3_7,47125
vac3_8,47125
vac3_9,47125
vac5,47125
w1,47806
w2,47806
w3,47806
vac12_12,48244
vac12_13,48244
i14_health_other,48400
child_age_1,48779
