Variable Name,Missing Value Count
RecordNo,0
ox4_9_1,0
ox4_8_1,0
ox4_7_1,0
ox4_6_1,0
ox4_5_1,0
ox4_4_1,0
ox4_3_1,0
ox4_2_1,0
ox4_1_1,0
ox6,0
ox5_2,0
ox5_1,0
ox3_6,0
ox3_5,0
ox3_4,0
ox3_3,0
ox3_2,0
ox3_1,0
ox1_2,0
ox1_1,0
i12_health_26,0
ox4_10_1,0
ct8_6,0
ox4_11_1,0
w2,0
w5_8,0
w5_7,0
w5_6,0
w5_5,0
w5_4,0
w5_3,0
w5_2,0
w5_1,0
w4_99,0
w4_11,0
w4_10,0
w4_9,0
w4_8,0
w4_7,0
w4_6,0
w4_5,0
w4_4,0
w4_3,0
w4_2,0
w4_1,0
w3,0
w1,0
ct8_5,0
ct8_4,0
ct8_3,0
ct3,0
ct2,0
ct1b_other,0
ct1b_99,0
ct1b_96,0
ct1b_11,0
ct1b_10,0
ct1b_9,0
ct1b_8,0
ct1b_7,0
ct1b_6,0
ct1b_5,0
ct1b_4,0
ct1b_3,0
ct1b_2,0
ct1b_1,0
ct1_2,0
ct1_1,0
i14_health_11,0
m14_open,0
m14_99,0
ct3_other,0
ct4,0
ct5_1,0
ct5_2,0
ct8_2,0
ct8_1,0
ct7_3,0
ct7_2,0
ct7_1,0
ct6_99,0
ct6_96,0
ct6_6,0
ct6_5,0
ct6_4,0
w5_9,0
ct6_3,0
ct6_1,0
ct5_other,0
ct5_99,0
ct5_96,0
ct5_8,0
ct5_7,0
ct5_6,0
ct5_5,0
ct5_4,0
ct5_3,0
ct6_2,0
w5_10,0
w5_11,0
w5_12,0
vac,0
av3,0
vac2_7,0
r1_10,0
r1_9,0
r1_8,0
av2,0
av1_99,0
av1_3,0
av1_2,0
av1_1,0
vac8,0
vac7,0
vac6,0
vac5,0
vac4,0
vac3_9,0
vac3_8,0
vac3_7,0
vac3_6,0
vac3_5,0
vac9,0
vac10_1,0
vac10_2,0
vac10_3,0
vac10_8,0
vac12_96,0
vac12_10,0
vac12_9,0
vac12_8,0
vac12_7,0
vac12_6,0
